Word,Count
report.ReportParameters[0].Value,10
/////,10
nozzle,10
dtTo;,10
\string.Format("\\,10
System.GC.Collect();,10
/AS,10
public,10
Guid.Empty);,10
desc,10
str,10
radButton6,10
/update,10
dtFrom;,10
(currentReport,10
Gets,10
radPageViewPage1,10
sale,10
InvoiceTypeId,10
EventArgs());,9
(res,9
Guid.NewGuid();,9
mov.SumIn,9
1,9
DialogResult,9
out,9
identity,9
res,9
(alarm.GetType(),9
//{,9
action,9
are,9
q,9
file,9
mov.SumInNormalized,9
//},9
from,9
qsd.Sum(s,9
});,9
VIEW,8
ftc.FuelType).Sum(fp,8
il.TankFilling.TransactionTime,8
Telerik.Reporting.InstanceReportSource();,8
this.database.SystemEvents.Where(s,8
invoiceRadGridView,8
signIndex,8
Alert,8
splitPanel2,8
Καυσίμου,8
existingEvent,8
sendObject,8
t.TankId,8
radTextBox1,8
class,8
panel5,8
/UPDATE,8
splitPanel1,8
message,8
deliveryType).Sum(tfi,8
ftc.FuelPumps.Where(fp,8
radGridView1,8
s.VolumeNormalized);,8
(existingEvent,8
fp.FuelType,8
radLabel5,8
\"\"\\,8
TimeSpan,8
Data.SystemEvent,8
radLabel6,8
radSplitContainer1,8
Checks,8
\Data.Implementation.OptionHandler.Instance.GetTimeSpanOption("\DayCloseHour"\,\,7
\database,\,7
tc,7
Data.Balance,7
sftf,7
form,7
System.Globalization.CultureInfo.CurrentCulture));,7
sftf.EndDate,7
\"\g"\,\,7
100,7
e.CellElement.BackColor,7
Data.Tank,7
s.TotalizerStart);,7
SelectionForms.SelectFromToForm();,7
ftpc.TotalizerStart;,7
Creates,7
CONSTRAINT,7
1),7
DateTime.Today.Add(tc);,7
[int],7
Main,7
ac,7
SelectionForms.SelectFromToForm,7
dispenser,7
\"\"\;\,7
(UI.Controls.AlarmControl,7
sftf.EndDate.Value;,7
Telerik.Reporting.InstanceReportSource,7
\TimeSpan.ParseExact("\01:00:00:00"\,\,7
DateTime.Today.AddDays(-1).Add(tc);,7
s.TotalizerEnd,7
\Data.Implementation.OptionHandler.Instance.GetGuidOption("\LiterCheckInvoiceType"\,\,7
PRIMARY,7
report.ReportParameters[1].Value,7
ft,7
str;,7
sftf.ShowDialog();,7
BaseMessage,7
on,7
\:#{0:N2}"\,\,7
/(,7
il.Invoice.InvoiceTypeId,7
this.database.Nozzles.Where(n,7
list,7
il.FuelTypeId,7
DialogResult.OK),7
sftf.StartDate.Value;,7
dbo.SalesTransaction,7
sftf.StartDate,7
resolved,7
n.NozzleId,7
/SELECT,7
fuelpoints,7
sysEvent.EventType,6
Set,6
sysEvent.Message,6
IsInternal,6
Virtual,6
tanks,6
ASC,6
ftpc,6
div.Percentage,6
WHERE,6
!s.ResolvedDate.HasValue,6
Class,6
tankId).OrderBy(t,6
dt1;,6
(e.Alarm.GetType(),6
msg,6
bit,6
datetime,6
Application,6
//var,6
t.FuelType,6
endLevel,6
st.TransactionTimeStamp,6
div.PercentageNormalized,6
balance.Reservoirs.Reservoirs.Where(t,6
label4,6
ft.Nozzles.SelectMany(n,6
\file.Name.Replace("\.out"\,\,6
e.Alarm.DeviceDescription,6
t.TansDate,6
------------------------------------------------------------------------------,6
mov.FuelType).Sum(t,6
mov.DaylyMoveNormalized,6
radLabel8,6
dt,6
desc;,6
radCheckBox1,6
\HH:mm"\);\,6
ft.FuelTypeId,6
generated,6
balance.TimeEnd);,6
dt2;,6
db.InvoiceLines.Where(i,6
CLUSTERED,6
this.OPTStatus,6
tank.TankSerialNumber;,6
mov.DaylyMove,6
s.Message,6
radLabel7,6
when,6
sysEvent.AlarmType,6
/),6
KEY,6
invoiceTypeRadGridView,6
alarm.DeviceDescription,6
Data.TankFilling,6
radButton7,6
//F_2244C,5
FROM,5
//F_2245A,5
//F_2244F,5
Fuel,5
rm);,5
this.btnStats.Enabled,5
tAlarm,5
alarm,5
(SELECT,5
Λογισμικού,5
assembly,5
this.btnSettings.Enabled,5
List<VirtualDevices.VirtualBaseAlarm>,5
\[Level],\,5
connection,5
bl.Model;,5
Telerik.Reporting.ObjectDataSource,5
bm.MessageId;,5
fuelTypes),5
tank.TankNumber;,5
null);,5
(Data.FuelType,5
s.Volume),5
//F_2245B,5
balance,5
this.Invoke(new,5
e.CellElement.ForeColor,5
(dispenser,5
controllers,5
//F_2244D,5
INDEX,5
/ON,5
//F_2244B,5
bm,5
Dispenser,5
tf.TransactionTimeEnd,5
radLabel10,5
ftpc.TotalLiterCheck;,5
update,5
invoiceBindingSource,5
printer,5
\Telerik.Reporting.OpenAccessDataSource(invoiceLines,\,5
avaliable,5
Αναμονή,5
\TansDate,\,5
(vt.TankStatus,5
ON,5
functionality,5
Check,5
ASCII,5
NONCLUSTERED,5
String,5
id.ToLower()).FirstOrDefault();,5
radSpinEditor1,5
NEWID(),5
\,\,5
\"\\r\n"\;\,5
nozzles,5
\dt1,\,5
adds,5
Telerik.Reporting.ObjectDataSource();,5
ShowFinancialData,5
\Telerik.Reporting.OpenAccessDataSource(q,\,5
//F_2244E,5
each,5
\n.GetLitercheckSum(balance.TimeStart,\,5
SentDatetime,5
vt.TankStatus,5
(VirtualDevices.VirtualBaseAlarm,5
mov.SumInInvoicedNormalized,5
ftpc.SumTotalOutTotalizerNormalized,5
invoiceLines,5
event,5
If,5
current,4
sysEvent.EventId;,4
f.FuelType,4
\0,\,4
f.FuelPumps).Sum(fp,4
label5,4
ResponseCode,4
using,4
1)).Sum(tfi,4
tank.TankId);,4
qsd,4
nAlarm.MessageText,4
tf.VolumeRealNormalized;,4
/------------------------,4
nn.SalesTransactions).Where(s,4
Program.CurrentUserLevel,4
i.SalesTransaction.TransactionTimeStamp,4
data;,4
typeof(VirtualNozzleAlarm)),4
(this.OTPStatusChanged,4
this.label1.ForeColor,4
\name="\tank"\></param>\,4
Data.TankLevelEndView,4
characters,4
control,4
Stops,4
/FROM,4
tankCheckRadGridView,4
nAlarm.DeviceId;,4
invoiceTypeId,4
label7,4
salesTransactionRadGridView,4
dbo.Invoice,4
radButton9,4
\"\Σφάλμα\,4
radGroupBox1,4
providing,4
qd.SelectMany(nn,4
Queue,4
invoiceLinesRadGridView,4
radButton8,4
\"\Δεξαμενή\,4
radLabel9,4
restart,4
agent,4
textWriter.ToString();,4
(endLevel,4
them,4
subReport2;,4
Version,4
tfi.VolumeRealNormalized);,4
subReport1.DataSource,4
\str.IndexOf("\,"\);\,4
invoice.InvoiceSignature,4
database.TankLevelEndViews.Where(t,4
qd,4
balance.TimeEnd).OrderBy(f,4
informs,4
btnAdd,4
tankFillingRadGridView,4
UI.Controls.AlarmControl,4
subReport2,4
(tfi.InvoiceTypeId,4
ftc.SumTotalizerDifferenceNormalized,4
\Telerik.Reporting.OpenAccessDataSource(q1,\,4
values,4
Δεξαμενής,4
traderRadGridView,4
invoiceLineRadGridView,4
\Decimal(18,\,4
Discovers,4
\str.Substring(7,\,4
lock,4
(bm.MessageType,4
\{0}"\,\,4
Πώληση,4
tool,4
this.objectsToDispose.Add(subReport2);,4
Πώλησης,4
this.controllerThread.RenoveSale();,4
Number,4
this.label3.ForeColor,4
subReport2.DataSource,4
args,4
(int)nAlarm.AlertType;,4
sending,4
radLabel11,4
scaleFactor,4
Tank,4
balance.PumpsPerFuel.FuelTypes.Where(f,4
//if,4
[nvarchar](100),4
m.Value.MessageType,4
this.objectsToDispose.Add(subReport1);,4
SentDateTime,4
6);,4
\"\Αντλία\,4
tfi.TransactionType,4
nAlarm.MessageText;,4
programm,4
endLevel.Level.Value;,4
(signIndex,4
args);,4
subReport1,4
i.Invoice.TransactionDate,4
t.TansDate).LastOrDefault();,4
there,4
\name="\nozzleId"\></param>\,4
state,4
mov.FuelType).SelectMany(f,4
btnDelete,4
\this.OTPStatusChanged(this,\,4
fuelTypes,4
Data.SystemEvent();,4
fp.TotalLiterCheck);,4
identified,4
shiftRadGridView,4
1;,4
this.label2.ForeColor,4
application,4
nozzleRadGridView,4
/Έκδοση,4
with</param>,4
ftpc.FuelPumpSerialNumber,4
s.Volume);,4
connected,4
tankId),4
i,4
Communication.BalanceClass,4
flowLayoutPanel1,4
Data.Nozzle,4
will,4
fp.TotalLiterCheckNormalized);,4
typeof(VirtualTankAlarm)),4
nameLabel,4
nAlarm,4
info,4
Returns,4
systemEventRadGridView,4
\"\Ακροσωλήνιο\,4
byte[],4
ftc.SumTotalizerDifference,4
typeof(VirtualDispenserAlarm)),4
q2,4
\dt,\,4
nn.FuelTypeId,4
textWriter,4
sender,4
subReport1;,4
ni.Status,4
ssf.SelectedShift.ToString();,4
tfi.VolumeReal);,4
info.VolumeReal);,3
log,3
reservoir.VolumeStartNormalized,3
n.Dispenser.OfficialPumpNumber.ToString();,3
EuromatEnabled,3
mov.DiffNormalized,3
bal.StartDate,3
repSource,3
\233,\,3
ex),3
//F_2234_MM,3
n.SalesTransactions.SelectMany(s,3
Nozzle,3
\workFlow.Dispenser.AddressId,\,3
Balance,3
ftpc.SumTotalOutNormalized,3
lastFil.TankFillingId;,3
textWriter.Dispose();,3
qFill.SelectMany(tf,3
List<ASFuelControl.Communication.FuelTypeDivClass>();,3
\tank.FuelType.NormalizeVolume(reservoir.VolumeEnd,\,3
radPageViewPage3,3
Communication.BalanceClass();,3
e.Alarm.MessageText).FirstOrDefault();,3
reservoir.LevelStart,3
invoiceTypeBindingSource,3
//F_2232_MM,3
until,3
\//Guid.Parse("\394612c6-073c-4820-aa60-828aaecefcb7"\);\,3
Common.Enumerators.SendLogActionEnum.Balance;,3
discountSum,3
database.Add(bal);,3
//F_2236A1,3
\int,\,3
vTank.LastFuelHeight,3
ASFuelControl.Communication.FuelMovementClass,3
f.TotalizerEnd,3
(div.DivergenceNormalized,3
virtual,3
n.GetTotalizerStartAtTime(balance.TimeStart);,3
sysEv.NozzleId.Value).First().LastValidTotalizer;,3
\invoiceLines.Add("\\,3
qInvOther,3
{1:N2},3
Παραστατικού:,3
//period.PeriodEnd,3
GGPS,3
mov.SumAdditionalIn;,3
2),3
incorrect,3
Guid.Empty),3
\"\\r\n"\\,3
OptionValue,3
\reservoir.TemperatureStart,\,3
//F_2236A2,3
65);,3
ftpc.TotalSales,3
\string.Format("\Όγκος\,3
!il.TankFillingId.HasValue);,3
n.Dispenser.Nozzles.Where(nn,3
info.VolumeReal,3
e.DatabaseEntryId).Count(),3
quantitySum,3
\Invoice"\,\,3
dbo.Trader,3
mov.Diff,3
radGroupBox2,3
*************//,3
il.Invoice.InvoiceType.TransactionType,3
ASFuelControl.Communication.FuelTypePumpClass();,3
ftc,3
radListView1,3
radListControl1,3
reservoir.TankId,3
\ser.Serialize(textWriter,\,3
//F_2242,3
List<ASFuelControl.Communication.ReservoirClass>();,3
\((Telerik.Reporting.SubReport)report.Items["\detail"\].Items["\subReport1"\]).ReportSource\,3
\((Telerik.Reporting.SubReport)report.Items["\detail"\].Items["\subReport3"\]).ReportSource\,3
3),3
SELECT,3
ASFuelControl.Communication.FuelTypeDivClass();,3
following,3
radRadioButton2,3
invoice.Printer,3
Version:4.0.30319.42000,3
List<ASFuelControl.Communication.FuelTypePumpClass>();,3
tank.TotalVolume;,3
\"\);\,3
balance.Movements,3
tank.GetLastValidLevel();,3
tank.GetLastValidWaterLevel();,3
System.IO.StringWriter,3
maxC,3
(mov.DaylyMove,3
fileName,3
decimals),3
alarm.MessageText).FirstOrDefault();,3
ftpc.TotalizerStart,3
\string.Format("\Παραλαβή\,3
info.VolumeInvoiced,3
\.FromArgb(255,\,3
ASFuelControl.Communication.FuelMovementsClass();,3
invoice.InvoiceLines.Sum(il,3
(string,3
e.DeviceId).FirstOrDefault();,3
status,3
radLabel13,3
(lastFil,3
ac.CurrentAlarm.DeviceId,3
//F_2236B2,3
\MessageBoxButtons.OK,\,3
balance.PumpsPerFuel.FuelTypes.Add(ftc);,3
DialogResult.Cancel),3
vt,3
label8,3
qt.First();,3
//F_2233,3
\name="\dispenserId"\></param>\,3
//F_2244A,3
label9,3
behavior,3
validAlerts),3
dbo.TankCheck,3
//F_2237,3
//F_2232_TEMP,3
ft.FuelTypeId).ToList();,3
DatabaseEntryId,3
balance.TimeStart;,3
object[],3
textWriter.Close();,3
\Data.Implementation.OptionHandler.Instance.GetGuidOption("\DeliveryCheckInvoiceType"\,\,3
(vt,3
//F_2234_TEMP,3
div.FuelType,3
i.Invoice.InvoiceType.TransactionType,3
cause,3
balance.Reservoirs,3
process,3
ftc.FuelPumps),3
this.panel5.Controls),3
ASFuelControl.Communication.FuelTypeClass();,3
ASFuelControl.Communication.ReservoirClass();,3
mov.DaylyMove);,3
Color.LightGray;,3
this.database.SystemEvents.Where(se,3
this.database.CreateEntity<Data.ApplicationUserLoggon>();,3
(Communication.Enums.FuelTypeEnum)tank.FuelType.EnumeratorValue;,3
n.OfficialNozzleNumber;,3
ASFuelControl.Communication.ReservoirClass,3
ftpc.TotalOut,3
database.TankFillings.Where(tf,3
radLabel12,3
bal.LastFilling,3
bal.EndDate,3
specific,3
reservoir.TankSerialNumber,3
t.VolumeEnd),3
ftpc.TotalLiterCheck,3
CreateBalance(Data.DatabaseModel,3
Σε,3
tAlarm.DeviceId,3
t.VolumeEndNormalized),3
ASFuelControl.Communication.FuelTypePumpClass,3
this.radDateTimePicker1.Value;,3
ts.Tank).Distinct();,3
attached,3
str);,3
mov.SumAdditionalInNormalized;,3
(mov.DaylyMoveNormalized,3
instance,3
<auto-generated>,3
mov.SumAdditionalIn,3
info.AlarmTime,3
tank.GetTankVolume(tank.LastFuelHeight);,3
\ft.NormalizeVolume(ftc.SumTotalizerDifference,\,3
spec),3
reservoir,3
nvarchar(500),3
reservoir.Capacity,3
outFolder,3
n.SalesTransactions).Where(s,3
div.DivergenceNormalized,3
tf.Tank.FuelTypeId,3
\tank.FuelType.NormalizeVolume(reservoir.VolumeStart,\,3
entries,3
Εκπτωσης,3
invoice.Printer;,3
alarms,3
tf.TransactionTime,3
\ViewId,\,3
subReport3.DataSource,3
//F_2239B,3
tank.GetTankVolume(reservoir.LevelEnd);,3
(qs.Count(),3
vehiclesRadGridView,3
{0:N2},3
System.Xml.Serialization.XmlSerializer,3
(this.RefreshAlerts,3
Changes,3
Data.Dispenser,3
balance.Movements.FuelMovements,3
handles,3
nf.Nozzle).Distinct().ToList();,3
signStr,3
nozzles),3
qFill,3
radLabel29,3
nameRadTextBox,3
va,3
sysEv.NozzleId.Value).First().TotalCounter;,3
qs,3
e.Alarm.DeviceId,3
PasswordText,3
radPanel1.ApplyBackColor();,3
label6,3
lastNormalizedVol,3
List<UI.Controls.AlarmControl>();,3
device,3
(Data.Nozzle,3
n.Dispenser.PumpSerialNumber;,3
\info.VolumeInvoiced,\,3
e.Remove,3
(div.Divergence,3
</auto-generated>,3
List<ASFuelControl.Communication.FuelTypeClass>();,3
alertsToKeep.Add(va);,3
invoiceLineBindingSource,3
time,3
ASFuelControl.Communication.ReservoirsClass();,3
a.DatabaseEntityId,3
(this.QueryRemovrControl,3
qsdiff,3
[ntext],3
\this.RefreshAlerts(this,\,3
ftpc.SumTotalOut,3
labelSerial,3
alarm.DeviceId,3
List<Data.FuelType>,3
//F_2238,3
(validAlerts.Count,3
AlarmThreshold,3
true,3
files,3
tableLayoutPanel1,3
(invoice,3
e.Alarm,3
qst,3
this.labelUnitPriceDec.Text,3
\DirectPrinter.SendToPrinter("\ASFuelControl\,3
//F_2243,3
dispensers),3
invoice.Printer);,3
Μέτρησης:,3
version,3
Data.Balance();//,3
tank.GetLastValidTemperatur();,3
div.Divergence,3
};,3
subReport3;,3
n,3
s.TankSales).Select(ts,3
\((Telerik.Reporting.SubReport)report.Items["\detail"\].Items["\subReport2"\]).ReportSource\,3
VirtualDevices.VirtualTank,3
alarm.DeviceId).FirstOrDefault();,3
subReport3,3
(size,3
bal.BalanceText,3
info.Difference,3
failed,3
validAlerts,3
Data.FuelType,3
balance.Divergences.Divergences.Add(div);,3
ftc.FuelPumps.Count;,3
this.labelTotalVolumeDec.Text,3
\this.QueryRemovrControl(this,\,3
reservoir.VolumeEnd,3
\Telerik.Reporting.OpenAccessDataSource(db,\,3
info.DeviceDescription,3
[FleetManagmentCotrollerId],3
\Number,\,3
switch,3
lost,3
radLabel14,3
ftc.FuelPumps.Add(ftpc);,3
Data.DatabaseModel.CurrentUserId;,3
System.IO.DirectoryInfo,3
balance.TimeEnd;,3
\"\0"\\,3
qt,3
f.TransactionTimeEnd).LastOrDefault();,3
bal,3
e.Alarm.DeviceId).FirstOrDefault();,3
radRadioButton1,3
radDropDownList2,3
Στάθμη,3
//F_2234_VOL,3
(decimal)0.95,3
radPanel1.BackColor1,3
dbo.CommunicationController,3
printerSettings.PrinterName,3
cutCommand,3
List<UI.Controls.AlarmControl>,3
DeviceId,3
may,3
ftc.TotalPumpsNumber,3
n.SalesTransactions).Where(st,3
il.Volume)).EquilizeString(printerLineWidth);,3
ftpc.TankSerialNumber,3
you,3
g.Sum(f,3
this.radDateTimePicker2.Value;,3
\name="\controller"\></param>\,3
/Update,3
ser,3
balance.Date,3
newAlerts.Add(tAlarm);,3
bool,3
[nvarchar](20),3
(this.alertsToResolve),3
database.RefreshData();,3
salesToProcess,3
(args.Remove),3
\"\\\"\\,3
(ASFuelControl.Communication.FuelTypePumpClass,3
\database.GetAvgTemperature(qsdiff),\,3
\printText,\,3
alarm),3
balance.Reservoirs.Reservoirs.Add(reservoir);,3
reservoir.TemperatureStart,3
raised,3
\TankId,\,3
balance.PumpsPerFuel,3
(nozzles.Count,3
List<ASFuelControl.Communication.FuelMovementClass>();,3
QueryRemoveAlert,3
reservoir.VolumeStart,3
).ToList();,3
bal.ApplicationUserId,3
balance.PumpsPerFuel.FuelTypes,3
Sends,3
ASFuelControl.Communication.FuelTypeBalances();,3
dt2),3
info.MessageText,3
mov.SumInInvoicedNormalized;,3
div,3
VirtualDevices.VirtualNozzle,3
n.SalesTransactions.Where(s,3
t.FuelTypeId,3
se,3
Sign,3
&,3
decrypt,3
dbo.TankFilling,3
\this.messages.TryRemove(bm.MessageId,\,3
//F_2235,3
balance.Reservoirs.Reservoirs,3
Color.Orange;,3
n.GetTotalizerEndAtTime(balance.TimeEnd);,3
mov.SumInInvoiced;,3
mov.FuelType,3
c,3
reservoir.TemperatureEnd,3
balance.Divergences,3
t.VolumeStart,3
\ac.CurrentAlarm.DatabaseEntityId,\,3
mov.SumInInvoiced,3
\reservoir.TemperatureEnd,\,3
this.labelTotalPriceDec.Text,3
lastFil,3
ftpc.TotalOutNormalized,3
t.VolumeStartNormalized,3
bal.BalanceId,3
ASFuelControl.Communication.FuelTypeDivClass,3
t.FuelType).Distinct().ToList();,3
Device,3
Revision,3
ftpc.NozzleId,3
ViewId,3
\database.GetAvgDensity(qsdiff,\,3
ftc.FuelPumps,3
invoice,3
qInvFillings,3
Controller,3
QueryRemoveAlert(),3
TS,3
*********,3
database.Tanks.Select(t,3
\this.RemoveAlertControl(ac,\,3
this.objectsToDispose.Add(subReport3);,3
balance.Divergences.Divergences,3
reservoir.FuelType,3
ftc.FuelType,3
ASFuelControl.Communication.FuelMovementClass();,3
reservoir.LevelEnd,3
List<Data.Nozzle>,3
\name="\tankId"\></param>\,3
System.Xml.Serialization.XmlSerializer(typeof(Communication.BalanceClass));,3
radTreeView1,3
encrypt,3
n.FuelTypeId);,3
database.Tanks.Where(t,3
tank.GetTankVolume(reservoir.LevelStart);,3
mov,3
\lt"\,\,3
(il.Invoice.InvoiceTypeId,3
ft.FuelTypeId).SelectMany(t,3
this.database.CreateEntity<Data.Balance>();,3
database.InvoiceLines.Where(il,3
regenerated,3
panel6,3
tha,3
System.IO.StringWriter();,3
\82,\,3
ftpc.FuelPumpId,3
mov.DaylyMoveNormalized);,3
creation,3
balance.Movements.FuelMovements.Add(mov);,3
invoice.InvoiceLines[0].SalesTransaction.Nozzle.Dispenser.InvoicePrints,3
Runtime,3
ASFuelControl.Communication.FuelTypeClass,3
reservoir.VolumeEndNormalized,3
file.Delete();,3
//F_2236B1,3
ASFuelControl.Communication.FuelTypeDivsClass();,3
radPanel1.BackColor2,3
//F_2239A,3
\"\"\).Replace("\.out"\,\,3
//F_2232_VOL,3
(tAlarm.DeviceId,3
balance);,3
t.NozzleFlows).Select(nf,3
[DatabaseName],3
ftpc.FuelType,3
tAlarm.ExistingAlarm,3
alarm.DatabaseEntityId,3
tf.InvoiceLines).Where(il,3
ftpc.TotalizerDifference,3
\"\$$"\\,3
Data.Invoice,3
true));,2
clicked,2
sendLogRadGridView,2
this.invoicePrintBindingSource.DataSource,2
panel10,2
invoice.TotalAmount,2
rm.MessageType,2
TransactionSign,2
\this.messages.TryAdd(msg.MessageId,\,2
this.panel5.ResumeLayout();,2
VirtualNozzleAlarm,2
vTank.LastWaterHeight,2
action;,2
InternalDeliveryDescription,2
radSpinEditor2,2
saleDataViewRadGridView,2
(state,2
\[ThermalCoeficient],\,2
Program.CurrentUserId,2
Data.TankLevelStartView,2
fp.TotalSalesNormalized);,2
\name="\fileName"\></param>\,2
\this.messages.TryRemove(rm.MessageId,\,2
ReturnMessage();,2
either,2
rm,2
Where,2
\dbo.SalesTransaction.TransactionTimeStamp,\,2
panelDispenser,2
\name="\fileType"\></param>\,2
VALUES,2
[OutdoorPaymentTerminalId],2
dispC.Dock,2
nozzleBindingSource,2
(RadTreeNode,2
(int)Common.Enumerators.AlertTypeEnum.TankAlert;,2
dbo.TankSale,2
DateTime.Today;,2
vd,2
f.Controller).Union(this.tankWorkFlows.Select(t,2
όνομα,2
this.LoadData();,2
currentTitrimetry.TitrimetryLevels.OrderBy(l,2
List<VirtualDevices.VirtualBaseAlarm>();,2
invoiceTypeId.ToString().ToLower();,2
dbo.SalesTransaction.TransactionTimeStamp,2
No,2
Reports.InvoiceTraderReport();,2
outdoorPaymentTerminalScheduleRadGridView,2
invoicedDeliveries15,2
Workflow,2
msg.MessageKind,2
fillingsDelivery15,2
log.SentTime;,2
\name="\currentStatus"\></param>\,2
INSERT,2
database.SaveChanges();,2
MAXSIZE,2
tanks),2
grid,2
Fired,2
VirtualDevices.VirtualDispenser,2
se.InvoiceLines.Where(il=>,2
Transaction,2
e.Node.Tag,2
a.DeviceId,2
\"\Προς\,2
slog,2
(int)f.FuelType,2
f_2245b[n.Dispenser.PumpSerialNumber],2
TankFilling,2
dispensers.Where(d,2
waiting,2
\Data.Implementation.OptionHandler.Instance.GetOption("\CompanyTIN"\);\,2
radLabel30,2
il.Invoice.InvoiceSignature.Length,2
\dbo.SalesTransaction.UnitPrice,\,2
originalFile,2
invoice.TotalAmount).EquilizeString(printerLineWidth);,2
//void,2
(VirtualDevices.VirtualDispenser,2
this.messages.Where(m,2
fp.TotalSalesNormalized,2
Add,2
channelRadSpinEditor,2
printing,2
s.NozzleId,2
!i.Invoice.InvoiceType.IsInternal.HasValue,2
invoiceLines.Add(border1.CenterString(printerLineWidth));,2
db.SalesTransactions.Where(s,2
deviceSettingBindingSource,2
\name="\status"\></param>\,2
EventHandler<WorkFlow.AlarmRaisedEventArgs>(workFlow_AlarmRaised);,2
[Name],2
salesViewRadGridView,2
[ShiftSettingId],2
System.Data.Common.DbParameter[],2
\this.database.Refresh(Telerik.OpenAccess.RefreshMode.OverwriteChangesFromStore,\,2
i.Invoice.TraderId.HasValue,2
existingEvent.Nozzle.OfficialNozzleNumber;,2
titrimetryLevelsRadGridView,2
\this.AlarmResolved(this,\,2
f.TotalizerStart);,2
labelStatus,2
p.AlertId,2
dbo.TankSale.SalesTransactionId,2
//e.CellElement.ForeColor,2
ft.EnumeratorValue).Sum(f,2
\dbo.SalesTransaction.Volume,\,2
\name="\Salt"\>Salt\,2
q.ToList();,2
Ποσοτήτων,2
Δεξαμενή,2
Τιμής,2
Data.SendLog();,2
vTank.LastTemperature,2
this.logToSave.Add(log);,2
label12,2
@ret,2
invoice.InvoiceSignature;,2
EndPointEnum.OTP;,2
sysData.SystemEventId,2
(Guid,2
\Data.Implementation.OptionHandler.Instance.GetOption("\CompanyName"\);\,2
unitPrice1,2
next,2
fleetManagerDispensersRadGridView,2
(message,2
\name="\PasswordIterations"\>Number\,2
\name="\id"\></param>\,2
\(file.Name.StartsWith("\Alert_"\))\,2
this.salesToProcess.Count;,2
Όγκος,2
//ftpc.SumTotalOutTotalizerNormalized,2
\Resolved"\;\,2
VirtualDispenserAlarm;,2
\"\SignA"\)\,2
fillingsRestVol);,2
&apos;89499fe5-f0fd-4de6-b239-c74df1b3fe41&apos;,2
\"\Παραστατικά\,2
\"\Name"\;\,2
fuelTypeBindingSource,2
\[EnumeratorValue],\,2
sysData.Value,2
existingEvent.EventDate;,2
can,2
Common.TankValues,2
volume1,2
fuelTypePriceRadGridView,2
ankAlert,2
fillingsVol,2
[nvarchar](250),2
subReport1.ReportParameters[0].Value,2
dir,2
printerSettings);,2
&apos;2017/03/17&apos;,2
\HH:mm:ss"\)\,2
label15,2
!se.ResolvedDate.HasValue);,2
